release_id,album_title,track_title,track_position,duration,year,country,genre,style,artist,source,lyrics
7976665,S★K★A Republik Concert ,A Buen Ritmo,CD1-4,,2008,Spain,Reggae,Ska,Skalariak,discogs,"2 ContributorsA Buen Ritmo LyricsPongo el despertador
Para que suene mañana
Y apenas duermo un rato
Tengo dolor...

Mirando el puto reloj
Hasta que suena la alarma
Han pasado las horas
En el cuarto del horror

Y ya se que voy hacer ante nada rendir!
Hay que espavilar y sacar el orgullo
Para sobrevivir!
Por aquellos los que me quieran si! bien muerto!
Por ellos vivire todavia muxo tiempo ooooeeeooo!!

Eeeeeoooooeeeeoooo!!
Asi a buen ritmo no haces el julai
Nadie asi puede perder!
Eeeeeoooooeeeeoooo!!
Asi a buen ritmo no haces el julai
Nadie asi puede caer!

No puedo estar peor
Tengo muy mala cara
No he nacido para este mundo
Me ahoga el dolor


Te he pasado mi corazon
A esta altura no siento nada
Si me empujo al vacio
No respiraré mejor!

Y ya se que voy hacer ante nada rendir!
Hay que espavilar y sacar el orgullo
Para sobrevivir!
Por aquellos los que me quieran si! bien muerto!
Por ellos vivire todavia muxo tiempo ooooeeeooo!!

Eeeeeoooooeeeeoooo!!
Asi a buen ritmo no haces el julai
Nadie asi puede perder!
Eeeeeoooooeeeeoooo!!
Asi a buen ritmo no haces el julai
Nadie asi puede caer!"
7976665,S★K★A Republik Concert ,Oligarquía,CD1-5,,2008,Spain,Reggae,Ska,Skalariak,discogs,"2 ContributorsOligarquía LyricsNo hay amor, no hay amor por la gente
No tienes corazón
Ensuciando estás todas la mentes
Todas limpias de educación
Como es posible que todo vaya peor
Hasta donde, hasta cuando tanta tristeza
Cuanto cadáver tanto descontrol
Hay descontrol, hay descontrol
Si no tienes corazón
Oligarquía, oligarquía, oligarquía
Nunca tuviste mi corazón

Mi respeto por toda la gente, no le dabas valor
Dinos donde no hablan nuestros héroes
Textos de desinformación
Como es posible que todo vaya peor
Hasta donde hasta cuando tanta tristeza
Cuanto cadáver tanto descontrol
Hay descontrol, hay descontrol
Si no tienes corazón
Oligarquía, oligarquía, oligarquía

El hambre crea el descontrol
Produciendo muchas peleas a plena luz del sol
Sangra nuestra América
Los muertos no tienen valor
Si el dólar domina esta tierra
No usas tu corazón oligarquía de nuestra América


Pedimos pan, pedimos vino, pedimos más
No nos mates el corazón (bis)

Oligarquía, oligarquía, oligarquía
Nunca tuviste corazón (bis)"
7976665,S★K★A Republik Concert ,José República,CD1-6,,2008,Spain,Reggae,Ska,Skalariak,discogs,"2 ContributorsJosé República LyricsSi me quieres escribir ya sabes mi paradero
3ª brigada mixta, primera linea de fuego
Si me quieres escribir ya sabes mi paradero
3ª brigada mixta, primera linea de fuego...
Anda jaleo, jaleo... jaleo, jaleo
Silva la locomotora ya empieza el tiroteo
Anda jaleo, jaleo... jaleo, jaleo
Silva la ametralladora...

Eran los años treinta y vivia jose republica
Cuando el frente popular obtuvo victoria
Eran los años de la esperanza ke nos robaron
De tierra sin guerra
Eh! un charco de sangre!
Eh! un hombre en el suelo
Huele asesinato ya hay duelo
Alguien... ha muerto

Eran los años treinta y vivia jose republica
Cuando alfonxo XIII huyo de la democracia
Eran los años de libertad como bandera
De la asamblea popular
Eh! un charco de sangre!
Eh! un hombre en el suelo
Huele asesinato ya hay duelo
Alguien... ha muerto


Llegaron los tiempo de los exiliados: Llego la guerra
De olas de hambre, de fusilados
Y el pueblo huerfano con dignidad
Nunca dejo de caminar NI DEJARÁ
Eh! un charco de sangre...
Eh! un hombre en el suelo...
Huele asesinato ya hay duelo
Jose República ha muerto...
Jose República ha muerto...
Dadle vida, que reviva..."
7976665,S★K★A Republik Concert ,Errainuaren Modura,CD1-7,,2008,Spain,Reggae,Ska,Skalariak,discogs,"2 ContributorsErrainuaren Modura LyricsEsaiezu hemen naizela, billa etortzeko
Atsedenik ez bidean, geldiunerik gabe
Gau ta egun ipar nahiz ego, aurrera jo ta ke
Zure begiradak narama, inoren beldurrik ez, zatoz ba

Uooooh!! biok bidez bide!
Uooooh!! bat bi ez dugu mugarik!
Uooooh!! sasi guztien gainetik!
Uooooh!! errainuaren modura!

Galdetuko didazu zer ote nabilen
Amilduko ez ote naizen
Azkenean irteerarik gabe
Amaitzeko galtzen
Galdua noizbait hemen ez bazaitut
Zure ondoan ekaitza naiz
Esan ba al dan zea lotzerik
Ez da errainua preso hartzerik, zatoz

Uooooh!! biok bidez bide!
Oooooh!! bat bi ez dugu mugarik!
Oooooh!! laino guztien azpitik!
Oooooh!! inork ezingo nau harrapatu!

Esaiezu hemen naizela, billa etortzeko
Atsedenik ez bidean, geldiunerik gabe
Gau ta egun ipar nahiz ego, aurrera jo ta ke
Zure begiradak narama, inoren beldurrik ez, zatoz ba


Uooooh!! biok bidez bide!
Uooooh!! bat bi ez dugu mugarik!
Uooooh!! sasi guztien gainetik!
Uooooh!! errainuaren modura!"
7976665,S★K★A Republik Concert ,Nuestra Manifestación,CD1-8,,2008,Spain,Reggae,Ska,Skalariak,discogs,"2 ContributorsNuestra Manifestación LyricsHay movimientos entre la gente hoy
De los bares salen, esta escondido el sol
Recoge sus mensajes y extiende el rumor
Porque una voz mas una voz..

Es una manifestacion
De los que quieren vivir
Luchando ayer como luchan hoy
Aman sus huellas mas de mil

Miles de huellas en manifestacion
Al quedar grabadas inmortales son
Distintas sus historias
Juntas se dan calor
Porque una voz, mas una voz..

Es una manifestacion

No queremos mas silencio hoy
Por eso escuchas el clamor
Queremos movimiento
Bailar al mismo son
Porque una voz mas una voz...

Es una manifestacion


Ooooooo ooooo ooooooo ooh!!

Es una manifestacion!"
7976665,S★K★A Republik Concert ,Rude Control,CD1-9,,2008,Spain,Reggae,Ska,Skalariak,discogs,"2 ContributorsRude Control LyricsSiempre tuvieron el control
No nos emiten en la radio
A los rude los cachea la ley
En un concierto que nunca anunciareis

Wooooo!!! Siguen con el control
Wooooo!!! Sospechosos hasta en la habitacion

Indirecto,denunciamos control
Escala la entrada del concierto de hoy
Algunos, dinero quieren hacer
Para nosotros, la musika es placer

Wooooo!!! Siguen con el control
Wooooo!!! Total control hasta en esta cancion

Orgullosos aseguran la paz
Y el control de la ciudad
Enterrados frente al computador
Bombardeando su puta informacion

Wooooo!!! Que dejen la fiesta en paz
Wooooo!!! Control total

Somos esclavos
Traficantes de ideas
Veeee!!
Refugiados de la cancion
Exiliados de la tierra
Durante la actuacion


Control!!! Estais controlado

Control!!!....."
7976665,S★K★A Republik Concert ,Anti-Canción,CD1-10,,2008,Spain,Reggae,Ska,Skalariak,discogs,"2 ContributorsAnti-Canción LyricsEsta es la anti-cancion
Para cantar no hay ninguna razón
Aqui no hay nada que celebrar ni que escuchar
No somos poetas ni lo vamos a ser
Tierra de medios en un mundo cruel
La multi-musica toma el poder es lo que suena
No tenemos nada ya que festejar
Inmersos en el caos del capital

Esto no es una canción
Y ni siquiera me pone bailon
Aqui no hay nada que ganar ni que perder
Todos fuimos piratas alguna vez
Desde el vinilo al mp3
La multi-musica toma el poder es lo que suena
Por eso esta musica ya no va a ningún son
Y esto que suena no es mas que una
Anti-cancion

Dime Que anti que
Dime que anti que
Anti-cancion

Por eso la musica ya no va ningún son
Y esto que suena no es más que una
Anti-cancion


Dime que anti que
Dime que anti que
Anti-canción"
7976665,S★K★A Republik Concert ,Todos Los Hintxas,CD1-11,,2008,Spain,Reggae,Ska,Skalariak,discogs,"2 ContributorsTodos Los Hintxas Lyrics¡Todos los hintxas!

Cientos de personas esperando el momento
En que de comienzo la expedicion
Decenas de autobuses aparcan en fila
Con los que viajara toda la afición
Se ha dado la salida es muy temprano
A nadie le importa ponerse a privar
Muchos estan de pie alguno hay sentado
Con la musica muy alta se te ponen a bailar

Todos los hintxas a ritmo de ska
Todos los hintxas comienzan a privar
Todos los hitnxas a ritmo de ska
Ansias de juerga euforia animal
Todos los hintxas a ritmo de ska
Todos los hintxas comienzan a gritar
Todos los hitnxas a ritmo de ska
Ansias de juerga euforia animal

Pronto han llegado a la ciudad
Y en una calle juntos privando sin pagar
Ese es su territorio les dejan en paz
Ni la policia se atreve a molestar
Botellas y vasos comienzan a volar
Los escaparates los hacen estallar
Un cantico de fondo se escucha
Y contagia y los brazos agitan a la vez que cantan
""oeeeeeeeeeeeeeeeeoeoeoeoeeee""


Llegado el momento de salir corriendo
Los guerreros atizas localizan un bar
Hay que darse prisa todos quieren verlo
Alli están los ultras de la ciudad
Bengalas botellas lanzan sin parar
Los ultras agachados dentro del bar
Ardiendo hasta las mesas
Las llamas van a mas
El partido suspendido por el luto local

Todos los hintxas a ritmo de ska
Todos los hintxas comienzan a privar
Todos los hitnxas a ritmo de ska
Ansias de juerga euforia animal
Todos los hintxas a ritmo de ska
Todos los hintxas comienzan a gritar
Todos los hitnxas a ritmo de ska
Ansias de juerga euforia animal"
7976665,S★K★A Republik Concert ,Vodka Revolución,CD1-12,,2008,Spain,Reggae,Ska,Skalariak,discogs,"2 ContributorsVodka Revolución LyricsNadie se acuerda del diecisiete
A principios del siglo veinte
Cuando el vodka despertó
En una revolución

Se sacio la sed de la pobre gente
Buscaban su solución
La dura resaca le hizo frente
A aquella revolución

Hasta hace poco era
Muy lucida esa bandera
En las fiestas bebíamos vodka
Y nunca probamos el ron

Aunque ahora brindemos por esta cuba
Que derrama un dulce aguardiente
Hoy recuerda y ten muy presente
Aquella revolución

Navariski pacharan krasni napitok
Roadilsia iz naroda baskov
Z'diespiom za vodku i
Namnie protiven i rom
Z'dies piom za tiej kto
Jochet utolits' zdhazdhu
Na zdorovie, tovarischi, ""osasuna""
I ta revolutsi!!"
7976665,S★K★A Republik Concert ,SRK,CD1-13,,2008,Spain,Reggae,Ska,Skalariak,discogs,"1 ContributorSrk Lyrics¡Está en la calle!

Skalari Rude Klub
Lo baila el skin
Skalari Rude Klub
Hasta se mueve el punk
Skalari Rude Klub
Yo lo bailo asi
Dime que es lo que haces tu

Skalari Rude Klub
Lo baila el skin
Skalari Rude Klub
Hasta se mueve el punk
Skalari Rude Klub
Yo me muevo asi
Todos unidos en el klub

No somos heroes, no somos bandidos
Y no queremos que nos traten como escoria
Vivimos tras esta música escondidos
Skakeando en lo duro de la vida

Pero aqui tampoco ha sido facíl
Descubrir a la gente, con el auténtico espíritu
Color ska, agitación de Skalari Rude Klub


Skalari Rude Klub
Lo baila el skin
Skalari Rude Klub
Hasta se mueve el punk
Skalari Rude Klub
Yo lo bailo asi
Dime que es lo que haces tu

Skalari Rude Klub
Lo baila el skin
Skalari Rude Klub
Hasta se mueve el punk
Skalari Rude Klub
Yo me muevo asi
Todos unidos en el klub

Algunos dicen que este ritmo es facilón
Que lo que hacemos no tiene ningún merito
Pregunta a los jamaicanos rudeboys
Si fácil era echar maderos de sus ghettos

Aún asi tampoco ha sido fácil
Escuchar esta música con el auténtico espíritu
Color ska, agitación de Skalari Rude Klub

Rude..Skalari Rude Klub..rude
Todos unidos en el klub


Skalari Rude Klub
Skalari Rude Klub
Skalari Rude Klub"
